rf.img_name,truth,rf,svm,xgb,random,majority
100007_h_flip_rot_180.jpg,0.832336,0.827415,0.832336,0.827415,0.832336,0.82715
100099_h_flip_rot_90.jpg,0.679949,0.679949,0.679949,0.679949,0.679949,0.637692
100099_h_flip.jpg,0.687677,0.687677,0.687677,0.687677,0.687677,0.636832
10081_h_flip_rot_270.jpg,0.696426,0.6642,0.696426,0.6642,0.696426,0.6642
101027_h_flip_rot_90.jpg,0.693074,0.693074,0.693074,0.693074,0.693074,0.6503
101027_h_flip.jpg,0.692585,0.692585,0.692585,0.692585,0.692256,0.656494
101027_original.jpg,0.696508,0.696508,0.692557,0.696508,0.691468,0.657689
101027_rot_180.jpg,0.693289,0.693289,0.693289,0.693289,0.629699,0.655715
101027_rot_270.jpg,0.692042,0.692042,0.692042,0.692042,0.636012,0.656801
101027_rot_90.jpg,0.698399,0.698399,0.698399,0.698399,0.651998,0.651998
101085_h_flip_rot_180.jpg,0.802476,0.802476,0.802476,0.802476,0.739438,0.736501
101085_h_flip_rot_270.jpg,0.802292,0.802292,0.802292,0.802292,0.737839,0.738803
101085_h_flip_rot_90.jpg,0.803211,0.803211,0.803211,0.803211,0.657277,0.736101
101085_h_flip.jpg,0.805354,0.805354,0.805354,0.805354,0.805354,0.738053
101085_original.jpg,0.80769,0.80769,0.790303,0.80769,0.657044,0.734872
101085_rot_180.jpg,0.796541,0.796541,0.796541,0.796541,0.652268,0.737204
101085_rot_270.jpg,0.797339,0.797339,0.797339,0.797339,0.666185,0.736337
101085_rot_90.jpg,0.799983,0.799983,0.799983,0.799983,0.799983,0.736282
102061_h_flip_rot_180.jpg,0.562357,0.562357,0.562357,0.562357,0.562357,0.505892
102061_h_flip_rot_270.jpg,0.558491,0.558491,0.558491,0.558491,0.506521,0.501804
102061_h_flip_rot_90.jpg,0.562317,0.562317,0.562317,0.562317,0.503248,0.503858
102061_h_flip.jpg,0.562845,0.562845,0.562845,0.562845,0.502666,0.502666
102061_original.jpg,0.554476,0.554476,0.507483,0.554476,0.451307,0.499095
102061_rot_180.jpg,0.553177,0.553177,0.553177,0.553177,0.494427,0.497168
102061_rot_270.jpg,0.556865,0.556865,0.556865,0.556865,0.504109,0.502555
102061_rot_90.jpg,0.553172,0.553172,0.553172,0.553172,0.464759,0.494386
102062_h_flip_rot_90.jpg,0.579623,0.579623,0.579623,0.579623,0.572779,0.534153
102062_original.jpg,0.588742,0.588742,0.588742,0.588742,0.588742,0.537867
103006_h_flip.jpg,0.673733,0.673733,0.673733,0.661119,0.637252,0.637252
103029_h_flip_rot_180.jpg,0.719312,0.719312,0.719312,0.719312,0.698487,0.623338
103029_rot_270.jpg,0.722537,0.722537,0.722537,0.623754,0.695854,0.623754
103078_h_flip_rot_180.jpg,0.768931,0.768931,0.768931,0.768931,0.755903,0.755903
103078_original.jpg,0.770003,0.769405,0.769405,0.769405,0.478463,0.760275
103078_rot_90.jpg,0.772261,0.772261,0.772261,0.772261,0.772261,0.761196
104010_rot_90.jpg,0.601635,0.596716,0.596716,0.596716,0.481038,0.583718
104055_h_flip.jpg,0.633876,0.633876,0.633876,0.587008,0.563871,0.603271
105027_h_flip_rot_180.jpg,0.709016,0.709016,0.709016,0.709016,0.609189,0.704752
105027_h_flip_rot_270.jpg,0.7092,0.7092,0.7092,0.7092,0.703239,0.703239
105027_h_flip_rot_90.jpg,0.71848,0.71848,0.71848,0.71848,0.709432,0.701933
105027_h_flip.jpg,0.710988,0.710988,0.710988,0.710988,0.601403,0.704264
105027_original.jpg,0.70662,0.70662,0.70662,0.70662,0.609508,0.697235
105027_rot_180.jpg,0.705716,0.705716,0.705716,0.705716,0.693628,0.693628
105027_rot_90.jpg,0.702506,0.702506,0.702506,0.702506,0.693699,0.693699
106005_h_flip.jpg,0.735542,0.73304,0.735542,0.73304,0.591732,0.721097
106024_h_flip_rot_90.jpg,0.687044,0.687044,0.687044,0.684765,0.684765,0.671907
106024_rot_270.jpg,0.692053,0.692053,0.692053,0.686459,0.620832,0.675207
106047_h_flip_rot_180.jpg,0.488334,0.488334,0.488334,0.488334,0.488334,0.441798
106047_h_flip_rot_270.jpg,0.494707,0.494707,0.494707,0.494707,0.443637,0.443637
106047_h_flip_rot_90.jpg,0.495457,0.495457,0.495457,0.495457,0.440307,0.440307
106047_rot_180.jpg,0.498829,0.498829,0.498829,0.498829,0.440837,0.440837
107014_h_flip_rot_270.jpg,0.630873,0.630873,0.630873,0.630873,0.598024,0.598024
107045_h_flip.jpg,0.623155,0.623155,0.623155,0.623155,0.623155,0.566978
107072_h_flip_rot_180.jpg,0.796921,0.796921,0.796921,0.673517,0.796921,0.759828
107072_rot_270.jpg,0.793219,0.793219,0.793219,0.668735,0.785579,0.763802
